task_id	name	status	exit	realtime	peak_vmem
1839	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 15)	COMPLETED	0	6m 57s	1.4 GB
1574	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 68)	COMPLETED	0	2m 51s	1002.4 MB
1630	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 72)	COMPLETED	0	1m 15s	979.4 MB
1912	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 37)	COMPLETED	0	56.2s	1.3 GB
1349	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 52)	COMPLETED	0	3.3s	625.7 MB
1355	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 52)	COMPLETED	0	3.3s	624.4 MB
1361	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 52)	COMPLETED	0	3.3s	611.8 MB
2038	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 19)	COMPLETED	0	5m 58s	1.5 GB
2058	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 19)	COMPLETED	0	3m 53s	1.6 GB
2059	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 19)	COMPLETED	0	3m 53s	1.6 GB
2060	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 19)	COMPLETED	0	3m 50s	1.9 GB
1667	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 75)	COMPLETED	0	3.3s	629.1 MB
2138	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 41)	COMPLETED	0	1m 49s	1.8 GB
2137	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 41)	COMPLETED	0	1m 33s	1.8 GB
1937	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 40)	COMPLETED	0	5.3s	964.3 MB
2064	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 17)	COMPLETED	0	3m 21s	1.6 GB
2066	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 17)	COMPLETED	0	4m 12s	1.9 GB
2065	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 17)	COMPLETED	0	3m 25s	1.6 GB
2067	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 17)	COMPLETED	0	4m 5s	2 GB
2070	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 17)	COMPLETED	0	3m 29s	1.6 GB
2100	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 18)	COMPLETED	0	3m 22s	1.6 GB
2101	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 18)	COMPLETED	0	3m 25s	1.6 GB
2103	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 18)	COMPLETED	0	3m 59s	2 GB
2102	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 18)	COMPLETED	0	3m 55s	1.7 GB
873	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 32)	COMPLETED	0	3m 12s	947.8 MB
2247	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 22)	COMPLETED	0	2m 44s	2.5 GB
2402	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 25)	COMPLETED	0	2m 34s	2.1 GB
2403	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 25)	COMPLETED	0	2m 41s	2.5 GB
